activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for slag from metallurgical grade silicon production;slag from metallurgical grade silicon production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1a942151cfffcf28c2b37490d56fdd32;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for trichloroethylene;trichloroethylene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4ef3396c8a1b189617f84c6a339dcbef;GLO;kilogram;2011;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
;market for sodium tripolyphosphate;sodium tripolyphosphate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7c2ab2b467c2f29009f89001cde359bd;GLO;kilogram;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;353;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
;market for refrigerator;refrigerator;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;570bff4f228cbcba526b273f535884f8;GLO;unit;2750;Manufacture of domestic appliances;4481;"Domestic electric appliances; non-electric refrigerators and clothes drying machines";MachElecTrans;Metal/electronic equipments and parts
;methylcyclopentane to generic market for solvent, organic;solvent, organic;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7a535f4631a9377819d5f73e72d380c1;GLO;kilogram;20;Manufacture of chemicals and chemical products;341;Basic organic chemicals;Chemical;Chemical products
;market for sawnwood, board, softwood, dried (u=20%), planed;sawnwood, board, softwood, dried (u=20%), planed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;256a3a34b53e9da99b95d4c3d63290c9;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;inorganic potassium fertiliser, as K2O to generic market for organo-mineral potassium fertiliser, as K2O;organo-mineral potassium fertiliser, as K2O;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5a0e761dba780a95450cb8473e6836aa;GLO;kilogram;161;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
;market for gypsum fibreboard;gypsum fibreboard;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;60b72cd59889a73c2936c468c8627fbf;GLO;kilogram;2394;Manufacture of cement, lime and plaster;37530;Articles of plaster or of compositions based on plaster;GlasNonMetal;Glass and other non-metallic products
;market for aniline;aniline;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;63ea017e389a07a36765e03be75c2485;RoW;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for phacelia silage;phacelia silage;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;56bf8867fba9e9a2cf048ee29ecb4656;GLO;kilogram;161;Support activities for crop production;1919;Forage products, n.e.c.;;
;market for fava bean seed, organic, for sowing;fava bean seed, organic, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5995c0d32558d6771773970dca58798b;GLO;kilogram;164;Seed processing for propagation;1260;Vegetable seeds, except beet seeds;OreMinFuel;Ores, minerals & fuels
;market for dolomite;dolomite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;664abb18d8a9519808223f7797e972b7;RoW;kilogram;891;Mining of chemical and fertilizer minerals;16330;Chalk and dolomite;OreMinFuel;Ores, minerals & fuels
;market for butyldiglycol acetate;butyldiglycol acetate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c7b7495089151d927d7fe6f2ec53532d;GLO;kilogram;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;market for bitumen seal;bitumen seal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4b7b620b2d0bdf7250fa199dee87bc07;GLO;kilogram;2399;Manufacture of other non-metallic mineral products n.e.c.;37940;Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…];GlasNonMetal;Glass and other non-metallic products
;market for alpha-naphthol;alpha-naphthol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0a29c7d429543126bc2480b74aeb6f3a;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for NMC811 oxide;NMC811 oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bc62c5330286e6df8bfbcf7d03502b2c;RoW;kilogram;2011;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
;market for waste paper, sorted;waste paper, sorted;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;07a7c669369badd1d5c07037078ce5b2;GLO;kilogram;3830;Materials recovery;39240;Waste and scrap of paper or paperboard;AgriForeAnim;Agricultural and forestry products
;market for plug, inlet and outlet, for computer cable;plug, inlet and outlet, for computer cable;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f56017eb3db44f44f9f886100110daae;GLO;unit;2610;Manufacture of electronic components and boards;471;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments and parts
;market for sewage sludge, 70% water, WWT, rainwater mineral oil storage;sewage sludge, 70% water, WWT, rainwater mineral oil storage;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3e8ee0c88212f3995b23c0b361a31018;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for textile, nonwoven polyester;textile, nonwoven polyester;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;95b8c725d30477a6f7af060844f27fa1;GLO;kilogram;1311;Preparation and spinning of textile fibres;26710;Woven fabrics of man-made filament yarn, obtained from high tenacity yarn of nylon or other polyamides, of pol[…];ProcBio;Textile
;market for hazardous waste, for incineration;hazardous waste, for incineration;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2598dd8549fd367e0a7164c213645e53;RoW;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for basic oxygen furnace slag;basic oxygen furnace slag;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b296f0370200ce9d41b08a61fda7a9d8;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for waste bulk iron, excluding reinforcement;waste bulk iron, excluding reinforcement;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b35424ce6cca7c162934d1eeb057f8c6;RoW;kilogram;3830;Materials recovery;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for o-nitrophenol;o-nitrophenol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e0ef412500dc12423743ef3502ae7269;RoW;kilogram;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;market for residue from rutile production, synthetic, 56% water;residue from rutile production, synthetic, 56% water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f3882e66da847c762b108956491eed49;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39367;Waste and scrap of tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium […];AgriForeAnim;Agricultural and forestry products
;used nitrate salts, for solar power application to market for nitrate salts, for solar power application;nitrate salts, for solar power application;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;26a2d90bbf2742d223c36e17d4660f63;GLO;kilogram;2029;Manufacture of other chemical products n.e.c.;3549;Other chemical products;Chemical;Chemical products
;market for acetone cyanohydrin;acetone cyanohydrin;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9bb1afb4319dc8b8e27b49ca18b7a32a;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;341;Basic organic chemicals;Chemical;Chemical products
;electric arc furnace slag, for recovery to generic market for supplementary cementitious materials;supplementary cementitious materials;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;664b3006c74d966d20be2d99d1d78af4;RoW;kilogram;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
;market for sawdust, wet, measured as dry mass;sawdust, wet, measured as dry mass;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0e036f497597ba8b7e854ab817a2ad50;RoW;kilogram;1610;Sawmilling and planing of wood;3928;Sawdust and wood waste and scrap;AgriForeAnim;Agricultural and forestry products
;market for wire drawing, copper;wire drawing, copper;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d6369e6d8436b2dae14e1320d15428ef;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41513;Wire of copper;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for power adapter, for laptop;power adapter, for laptop;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b2d3739ba1fa4a8495290602709aeac4;GLO;unit;2710;Manufacture of electric motors, generators, transformers and electricity di;461;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for chromium steel removed by milling, small parts;chromium steel removed by milling, small parts;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b54e43505049521b9c5b075e86725cf9;GLO;kilogram;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for 2,4-dinitrotoluene;2,4-dinitrotoluene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;51e262ff5b33ada3d397da83754483cf;GLO;kilogram;2011;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
;market for esters of versatic acid;esters of versatic acid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1fe1d43e8f135ba76719266dfe3f36db;RoW;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for acrylonitrile-butadiene-styrene copolymer;acrylonitrile-butadiene-styrene copolymer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cbc24cb2d2368cc993decfd82de23b7f;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34720;Polymers of styrene, in primary forms;PlastRub;Plastics & rubber products
;market for azodicarbonamide;azodicarbonamide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e39f0296561bf61bd6b45b0a88077030;GLO;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for heptane;heptane;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e64c6f3349808096d48837d8ba8ffe78;GLO;kilogram;1920;Manufacture of refined petroleum products;333;"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";OreMinFuel;Ores, minerals & fuels
;market for n-olefins;n-olefins;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;04681bb9fe28b4408facb1d721820cd0;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for photovoltaic flat-roof installation, 3kWp, single-Si, on roof;photovoltaic flat-roof installation, 3kWp, single-Si, on roof;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b1b4270297511182940e3bf404f8ca2f;GLO;unit;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
;market for molybdenum;molybdenum;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0f23c62795fba0e3169d798d7048a26f;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for train, passenger, long-distance;train, passenger, long-distance;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;62ef39aea8f3f2f554fba17e3366437c;GLO;unit;3020;Manufacture of railway locomotives and rolling stock;49520;Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles);MachElecTrans;Transport vehicles
;yttrium oxide to generic market for mischmetal;mischmetal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0ce61af8ea97adad6f705ed735416e0f;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for cottonseed oil, refined;cottonseed oil, refined;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;21852c4e242046354e887a60ad34d612;GLO;kilogram;1040;Manufacture of vegetable and animal oils and fats;21682;Cottonseed oil, refined;ProcBio;Food & beverages, animal feed
;market for refrigeration machine, R134a as refrigerant;refrigeration machine, R134a as refrigerant;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;777e168e95abdec89525a88fec70d3f1;GLO;unit;2920;"Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile";43913;Refrigerating and freezing equipment and heat pumps, except household type equipment;MachElecTrans;Metal/electronic equipments and parts
;market for europium oxide;europium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;54d28d7cfde49e7718bdf0bb474b78c1;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for titanium zinc plate, without pre-weathering;titanium zinc plate, without pre-weathering;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;eb4550e16c6b7cbaae5c8dc6dfae3a2b;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41;Basic metals;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for sawnwood, beam, softwood, raw, dried (u=10%);sawnwood, beam, softwood, raw, dried (u=10%);ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3a114d3fde564aa2089d2fa72687b065;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;market for pesticide, unspecified;pesticide, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;86c4b4a51a0bad9dc60cb04216518e4a;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;346;Fertilizers and pesticides;Chemical;Chemical products
;market for clay;clay;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;844d0ce34065043c0a8e16462c1b5b16;RoW;kilogram;810;Quarrying of stone, sand and clay;15400;Clays;OreMinFuel;Ores, minerals & fuels
;market for barite;barite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;68cb8987dabde894da222e7e4247108b;GLO;kilogram;729;Mining of other non-ferrous metal ores;4160;"Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]";MetalAlloy;Basic metals & alloys, their semi-finished products
;market for sawnwood, softwood, raw, dried (u=20%);sawnwood, softwood, raw, dried (u=20%);ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;932667e365c8eea7098761e6090bebfe;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;market for used vegetable cooking oil;used vegetable cooking oil;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8974290de649dcdeb5d051043ad165b6;GLO;kilogram;3830;Materials recovery;39120;"Bran and other residues from the working of cereals or legumes; vegetable materials and vegetable waste, veget[…]";AgriForeAnim;Agricultural and forestry products
